id	name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
35	feedInPower: read32BitSigned(Data[34], Data[35])	0	0	0	0	0	0	0	0	0
36	Unknown	0	0	0	0	0	0	0	0	0
37	Unknown	0	0	0	0	0	0	0	0	0
38	Unknown	0	0	0	0	0	0	0	0	0
39	Unknown	31500	31500	31460	31460	31470	31470	31480	31470	31470
40	Unknown	65436	65436	65406	65406	65456	65456	65456	65456	65456
41	BAT_Power: read16BitSigned(Data[41])	65221	65221	65096	65096	65285	65285	65285	65285	65285
42	Unknown	3140	3140	3136	3136	3136	3136	3136	3136	3136
43	Unknown	65526	65526	65522	65522	65528	65528	65528	65528	65528
44	Unknown	65222	65222	65097	65097	65286	65286	65286	65286	65286
45	Unknown	1	1	1	1	1	1	1	1	1
46	Unknown	42	42	42	42	42	42	42	42	42
47	load	335	335	440	429	274	261	246	255	260
48	Unknown	256	256	256	256	256	256	256	256	256
49	Unknown	1045	1045	6709	6924	7718	7725	7937	7943	7949
50	Unknown	6165	6165	6165	6165	6400	6400	6400	6400	6400
51	Unknown	6146	6146	6146	6146	6146	6146	6146	6146	6146
52	Unknown	100	100	100	100	100	100	100	100	100
53	Unknown	0	0	0	0	0	0	0	0	0
54	inverterTemp	29	29	29	29	29	29	29	29	29
55	Unknown	0	0	0	0	0	0	0	0	0
56	Unknown	0	0	0	0	0	0	0	0	0
57	Unknown	0	0	0	0	0	0	0	0	0
58	Unknown	0	0	0	0	0	0	0	0	0
59	Unknown	0	0	0	0	0	0	0	0	0
60	Unknown	0	0	0	0	0	0	0	0	0
61	Unknown	0	0	0	0	0	0	0	0	0
62	Unknown	0	0	0	0	0	0	0	0	0
63	Unknown	0	0	0	0	0	0	0	0	0
64	Unknown	0	0	0	0	0	0	0	0	0
65	Unknown	0	0	0	0	0	0	0	0	0
66	Unknown	0	0	0	0	0	0	0	0	0
67	Unknown	0	0	0	0	0	0	0	0	0
68	Yield_Total: read32BitUnsigned(Data[68], Data[69]) / 10	55029	55029	55031	55031	55037	55037	55037	55037	55037
69	Yield_Total: read32BitUnsigned(Data[68], Data[69]) / 10	0	0	0	0	0	0	0	0	0
70	Yield_Today: Data[70] / 10	172	172	174	174	2	2	2	2	2
71	Unknown	158	158	158	158	158	158	158	158	158
72	Unknown	0	0	0	0	0	0	0	0	0
73	Unknown	0	0	0	0	0	0	0	0	0
74	Unknown	11408	11408	11409	11409	11415	11415	11415	11415	11415
75	Unknown	0	0	0	0	0	0	0	0	0
76	Unknown	13562	13562	13562	13562	13562	13562	13562	13562	13562
77	Unknown	0	0	0	0	0	0	0	0	0
78	totalChargedOut Data[78] / 10	45	45	46	46	1	1	1	1	1
79	totalChargedIn .Data[79] / 10	76	76	76	76	0	0	0	0	0
80	Unknown	56582	56582	56582	56582	56582	56582	56582	56582	56582
81	Unknown	0	0	0	0	0	0	0	0	0
82	totalProduction(daily)	207	207	207	207	0	0	0	0	0
83	Unknown	0	0	0	0	0	0	0	0	0
84	Unknown	0	0	0	0	0	0	0	0	0
85	Unknown	0	0	0	0	0	0	0	0	0
86	FeedInEnergy: read32BitUnsigned(Data[86], Data[87]) / 100	56636	56636	56636	56636	56636	56636	56636	56636	56636
87	FeedInEnergy: read32BitUnsigned(Data[86], Data[87]) / 100	4	4	4	4	4	4	4	4	4
88	ConsumeEnergy: read32BitUnsigned(Data[88], Data[89]) / 100	55810	55810	55810	55810	55830	55830	55830	55830	55830
89	ConsumeEnergy: read32BitUnsigned(Data[88], Data[89]) / 100	1	1	1	1	1	1	1	1	1
90	totalGridOut .Data[91] * 65536 + .Data[90]) / 100	290	290	290	290	0	0	0	0	0
91	totalGridOut .Data[91] * 65536 + .Data[90]) / 100	0	0	0	0	0	0	0	0	0
92	totalGridIn  (.Data[93] * 65536 + .Data[92]) / 100	178	178	178	178	0	0	0	0	0
93	totalGridIn  (.Data[93] * 65536 + .Data[92]) / 100	0	0	0	0	0	0	0	0	0
94	Unknown	0	0	0	0	0	0	0	0	0
95	Unknown	0	0	0	0	0	0	0	0	0
96	Unknown	0	0	0	0	0	0	0	0	0
97	Unknown	0	0	0	0	0	0	0	0	0
98	Unknown	0	0	0	0	0	0	0	0	0
99	Unknown	0	0	0	0	0	0	0	0	0
100	Unknown	0	0	0	0	0	0	0	0	0
101	Unknown	0	0	0	0	0	0	0	0	0
102	Unknown	1	1	1	1	1	1	1	1	1
103	BatteryCapacity %: Data[103]	64	64	62	62	56	56	56	56	56
104	Unknown	1	1	1	1	1	1	1	1	1
105	BatteryTemperature: read16BitSigned(Data[105])	27	27	27	27	27	27	27	27	27
106	batteryCap kWh.Data[106] / 10	59	59	57	57	51	51	51	51	51
107	Unknown	256	256	256	256	256	256	256	256	256
108	Unknown	3504	3504	3504	3504	3504	3504	3504	3504	3504
109	Unknown	2400	2400	2400	2400	2400	2400	2400	2400	2400
110	Unknown	222	222	222	222	222	222	222	222	222
111	BattMinSOC? %	300	300	300	300	300	300	300	300	300
112	Unknown	210	210	208	208	200	200	200	200	200
113	Unknown	194	194	192	192	186	186	186	186	186
114	Unknown	33	33	33	33	33	33	33	33	33
115	Unknown	33	33	33	33	33	33	33	33	33
116	Unknown	199	199	199	199	199	199	199	199	199
117	Unknown	1620	1620	1620	1620	1620	1620	1620	1620	1620
118	Unknown	778	778	778	778	778	778	778	778	778
119	Unknown	14135	14135	14135	14135	14135	14135	14135	14135	14135
120	Unknown	14135	14135	14135	14135	14135	14135	14135	14135	14135
121	Unknown	14135	14135	14135	14135	14135	14135	14135	14135	14135
122	Unknown	0	0	0	0	0	0	0	0	0
123	Unknown	0	0	0	0	0	0	0	0	0
124	Unknown	0	0	0	0	0	0	0	0	0
125	Unknown	3276	3276	3273	3273	3274	3274	3274	3274	3274
126	Unknown	3269	3269	3265	3265	3266	3266	3266	3266	3266
127	Unknown	63957	63957	64108	64110	64788	64789	64791	64791	64791
128	Unknown	38	38	38	38	38	38	38	38	38
129	Unknown	20564	20564	20564	20564	20564	20564	20564	20564	20564
130	Unknown	12339	12339	12339	12339	12339	12339	12339	12339	12339
131	Unknown	18753	18753	18753	18753	18753	18753	18753	18753	18753
132	Unknown	12597	12597	12597	12597	12597	12597	12597	12597	12597
133	Unknown	16691	16691	16691	16691	16691	16691	16691	16691	16691
134	Unknown	12612	12612	12612	12612	12612	12612	12612	12612	12612
135	Unknown	14137	14137	14137	14137	14137	14137	14137	14137	14137
136	Unknown	20564	20564	20564	20564	20564	20564	20564	20564	20564
137	Unknown	12339	12339	12339	12339	12339	12339	12339	12339	12339
138	Unknown	18754	18754	18754	18754	18754	18754	18754	18754	18754
139	Unknown	12596	12596	12596	12596	12596	12596	12596	12596	12596
140	Unknown	16688	16688	16688	16688	16688	16688	16688	16688	16688
141	Unknown	12612	12612	12612	12612	12612	12612	12612	12612	12612
142	Unknown	13104	13104	13104	13104	13104	13104	13104	13104	13104
143	Unknown	20564	20564	20564	20564	20564	20564	20564	20564	20564
144	Unknown	12339	12339	12339	12339	12339	12339	12339	12339	12339
145	Unknown	18754	18754	18754	18754	18754	18754	18754	18754	18754
146	Unknown	12340	12340	12340	12340	12340	12340	12340	12340	12340
147	Unknown	16697	16697	16697	16697	16697	16697	16697	16697	16697
148	Unknown	12868	12868	12868	12868	12868	12868	12868	12868	12868
149	Unknown	13876	13876	13876	13876	13876	13876	13876	13876	13876
150	Unknown	20564	20564	20564	20564	20564	20564	20564	20564	20564
151	Unknown	12339	12339	12339	12339	12339	12339	12339	12339	12339
152	Unknown	18754	18754	18754	18754	18754	18754	18754	18754	18754
153	Unknown	12599	12599	12599	12599	12599	12599	12599	12599	12599
154	Unknown	16688	16688	16688	16688	16688	16688	16688	16688	16688
155	Unknown	12358	12358	12358	12358	12358	12358	12358	12358	12358
156	Unknown	13113	13113	13113	13113	13113	13113	13113	13113	13113
157	Unknown	0	0	0	0	0	0	0	0	0
158	Unknown	0	0	0	0	0	0	0	0	0
159	Unknown	0	0	0	0	0	0	0	0	0
160	Unknown	0	0	0	0	0	0	0	0	0
161	Unknown	0	0	0	0	0	0	0	0	0
162	Unknown	0	0	0	0	0	0	0	0	0
163	Unknown	0	0	0	0	0	0	0	0	0
164	Unknown	514	514	514	514	770	770	514	514	770
165	Unknown	4099	4099	4099	4099	4099	4099	4099	4099	4099
166	Unknown	1281	1281	1281	1281	1281	1281	1281	1281	1281
167	Unknown	258	258	258	258	258	258	258	258	258
168	Unknown	0	0	0	0	0	0	0	0	0
169	BatteryVoltage: read32BitUnsigned(Data[169], Data[170]) / 100	31500	31500	31460	31460	31470	31470	31480	31470	31470
170	BatteryVoltage: read32BitUnsigned(Data[169], Data[170]) / 100	0	0	0	0	0	0	0	0	0
171	Unknown	0	0	0	0	0	0	0	0	0
172	Unknown	0	0	0	0	0	0	0	0	0
173	Unknown	0	0	0	0	0	0	0	0	0
174	Unknown	0	0	0	0	0	0	0	0	0
175	Unknown	0	0	0	0	0	0	0	0	0
176	Unknown	0	0	0	0	0	0	0	0	0
177	Unknown	0	0	0	0	0	0	0	0	0
178	Unknown	0	0	0	0	0	0	0	0	0
179	Unknown	0	0	0	0	0	0	0	0	0
180	Unknown	0	0	0	0	0	0	0	0	0
181	Unknown	0	0	0	0	0	0	0	0	0
182	Unknown	0	0	0	0	0	0	0	0	0
183	Unknown	0	0	0	0	0	0	0	0	0
184	Unknown	0	0	0	0	0	0	0	0	0
185	Unknown	0	0	0	0	0	0	0	0	0
186	Unknown	0	0	0	0	0	0	0	0	0
187	Unknown	0	0	0	0	0	0	0	0	0
188	Unknown	0	0	0	0	0	0	0	0	0
189	Unknown	0	0	0	0	0	0	0	0	0
190	Unknown	0	0	0	0	0	0	0	0	0
191	Unknown	0	0	0	0	0	0	0	0	0
192	Unknown	0	0	0	0	0	0	0	0	0
193	Unknown	0	0	0	0	0	0	0	0	0
194	Unknown	0	0	0	0	0	0	0	0	0
195	Unknown	0	0	0	0	0	0	0	0	0
196	Unknown	0	0	0	0	0	0	0	0	0
197	Unknown	0	0	0	0	0	0	0	0	0
198	Unknown	0	0	0	0	0	0	0	0	0
199	Unknown	0	0	0	0	0	0	0	0	0
200	Unknown	0	0	0	0	0	0	0	0	0
201	Unknown	0	0	0	0	0	0	0	0	0
202	Unknown	0	0	0	0	0	0	0	0	0
203	Unknown	0	0	0	0	0	0	0	0	0
204	Unknown	0	0	0	0	0	0	0	0	0
205	Unknown	0	0	0	0	0	0	0	0	0
206	Unknown	0	0	0	0	0	0	0	0	0
207	Unknown	0	0	0	0	0	0	0	0	0
208	Unknown	0	0	0	0	0	0	0	0	0
209	Unknown	0	0	0	0	0	0	0	0	0
210	Unknown	0	0	0	0	0	0	0	0	0
211	Unknown	0	0	0	0	0	0	0	0	0
212	Unknown	0	0	0	0	0	0	0	0	0
213	Unknown	0	0	0	0	0	0	0	0	0
214	Unknown	0	0	0	0	0	0	0	0	0
215	Unknown	0	0	0	0	0	0	0	0	0
216	Unknown	0	0	0	0	0	0	0	0	0
217	Unknown	0	0	0	0	0	0	0	0	0
218	Unknown	0	0	0	0	0	0	0	0	0
219	Unknown	0	0	0	0	0	0	0	0	0
220	Unknown	0	0	0	0	0	0	0	0	0
221	Unknown	0	0	0	0	0	0	0	0	0
222	Unknown	0	0	0	0	0	0	0	0	0
223	Unknown	0	0	0	0	0	0	0	0	0
224	Unknown	0	0	0	0	0	0	0	0	0
225	Unknown	0	0	0	0	0	0	0	0	0
226	Unknown	0	0	0	0	0	0	0	0	0
227	Unknown	0	0	0	0	0	0	0	0	0
228	Unknown	0	0	0	0	0	0	0	0	0
229	Unknown	0	0	0	0	0	0	0	0	0
230	Unknown	0	0	0	0	0	0	0	0	0
231	Unknown	0	0	0	0	0	0	0	0	0
232	Unknown	0	0	0	0	0	0	0	0	0
233	Unknown	0	0	0	0	0	0	0	0	0
234	Unknown	0	0	0	0	0	0	0	0	0
235	Unknown	0	0	0	0	0	0	0	0	0
236	Unknown	0	0	0	0	0	0	0	0	0
237	Unknown	0	0	0	0	0	0	0	0	0
238	Unknown	0	0	0	0	0	0	0	0	0
239	Unknown	0	0	0	0	0	0	0	0	0
240	Unknown	0	0	0	0	0	0	0	0	0
241	Unknown	0	0	0	0	0	0	0	0	0
242	Unknown	0	0	0	0	0	0	0	0	0
243	Unknown	0	0	0	0	0	0	0	0	0
244	Unknown	0	0	0	0	0	0	0	0	0
245	Unknown	0	0	0	0	0	0	0	0	0
246	Unknown	0	0	0	0	0	0	0	0	0
247	Unknown	0	0	0	0	0	0	0	0	0
248	Unknown	0	0	0	0	0	0	0	0	0
249	Unknown	0	0	0	0	0	0	0	0	0
250	Unknown	0	0	0	0	0	0	0	0	0
251	Unknown	0	0	0	0	0	0	0	0	0
252	Unknown	0	0	0	0	0	0	0	0	0
253	Unknown	0	0	0	0	0	0	0	0	0
254	Unknown	0	0	0	0	0	0	0	0	0
255	Unknown	0	0	0	0	0	0	0	0	0
256	Unknown	0	0	0	0	0	0	0	0	0
257	Unknown	0	0	0	0	0	0	0	0	0
258	Unknown	0	0	0	0	0	0	0	0	0
259	Unknown	0	0	0	0	0	0	0	0	0
260	Unknown	0	0	0	0	0	0	0	0	0
261	Unknown	0	0	0	0	0	0	0	0	0
262	Unknown	0	0	0	0	0	0	0	0	0
263	Unknown	0	0	0	0	0	0	0	0	0
264	Unknown	0	0	0	0	0	0	0	0	0
265	Unknown	0	0	0	0	0	0	0	0	0
266	Unknown	0	0	0	0	0	0	0	0	0
267	Unknown	0	0	0	0	0	0	0	0	0
268	Unknown	0	0	0	0	0	0	0	0	0
269	Unknown	0	0	0	0	0	0	0	0	0
270	Unknown	0	0	0	0	0	0	0	0	0
271	Unknown	0	0	0	0	0	0	0	0	0
272	Unknown	0	0	0	0	0	0	0	0	0
273	Unknown	0	0	0	0	0	0	0	0	0
274	Unknown	0	0	0	0	0	0	0	0	0
275	Unknown	0	0	0	0	0	0	0	0	0
276	Unknown	0	0	0	0	0	0	0	0	0
277	Unknown	0	0	0	0	0	0	0	0	0
278	Unknown	0	0	0	0	0	0	0	0	0
279	Unknown	0	0	0	0	0	0	0	0	0
280	Unknown	0	0	0	0	0	0	0	0	0
281	Unknown	0	0	0	0	0	0	0	0	0
282	Unknown	0	0	0	0	0	0	0	0	0
283	Unknown	0	0	0	0	0	0	0	0	0
284	Unknown	0	0	0	0	0	0	0	0	0
285	Unknown	0	0	0	0	0	0	0	0	0
286	Unknown	0	0	0	0	0	0	0	0	0
287	Unknown	0	0	0	0	0	0	0	0	0
288	Unknown	0	0	0	0	0	0	0	0	0
289	Unknown	0	0	0	0	0	0	0	0	0
290	Unknown	0	0	0	0	0	0	0	0	0
291	Unknown	0	0	0	0	0	0	0	0	0
292	Unknown	0	0	0	0	0	0	0	0	0
293	Unknown	0	0	0	0	0	0	0	0	0
294	Unknown	0	0	0	0	0	0	0	0	0
295	Unknown	0	0	0	0	0	0	0	0	0
296	Unknown	0	0	0	0	0	0	0	0	0
297	Unknown	0	0	0	0	0	0	0	0	0
298	Unknown	0	0	0	0	0	0	0	0	0
